Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
201,0.789,5.338,0,372.557,434.163,315.901,4
202,1.075,5.196,0,371.476,449.696,316.113,2
203,0.695,5.354,0,374.431,431.581,317.145,3
204,0.738,5.173,0,366.898,412.728,316.688,4
205,0.437,5.398,0,370.418,443.34,318.329,4
206,1.098,5.103,0,370.911,440.295,315.648,3
207,0.952,5.463,0,373.688,458.166,319.472,2
208,1.687,5.187,0,371.072,466.567,313.017,1
209,0.941,5.257,0,373.7,444.365,321.32,3
210,0.686,5.321,0,369.205,417.627,312.561,3
211,0.958,5.337,0,372.208,438.941,319.861,3
212,0.934,5.118,0,373.016,443.057,318.789,4
213,1.081,5.231,0,366.498,425.67,316.307,3
214,0.992,5.22,0,371.626,412.002,316.761,2
215,1.105,5.11,0,373.043,488.632,323.789,2
216,0.702,5.416,0,372.722,460.427,316.808,3
217,1.219,5.111,0,370.228,450.366,315.18,3
218,0.669,5.388,0,370.869,461.543,310.36,2
219,1.791,5.086,0,367.825,451.221,315.783,3
220,1.393,5.133,0,371.666,456.508,320.376,2
221,1.312,5.292,0,371.741,443.769,316.357,3
222,1.16,5.206,0,371.095,431.013,315.942,1
223,0.771,5.24,0,371.239,446.665,316.386,5
224,0.791,5.288,0,369.691,436.98,310.404,5
225,1.014,5.269,0,369.59,423.175,314.146,5
226,0.787,5.392,0,373.902,420.262,312.801,4
227,1.969,5.336,0,372.732,458.625,316.724,5
228,2.023,5.03,0,369.993,457.439,317.674,5
229,2.124,5.128,0,370.875,421.235,318.905,5
230,1.711,5.488,0,371.531,430.232,316.592,5
231,1.772,5.435,0,372.734,368.253,312.923,10
232,1.794,5.293,0,371.777,411.755,316.066,6
233,1.95,5.098,0,370.348,431.847,320.088,5
234,1.851,5.157,0,369.613,448.187,314.99,4
235,2.039,5.089,0,371.843,444.393,318.092,2
236,1.844,5.364,0,370.936,447.721,316.725,2
237,1.967,5.205,0,372.033,445.913,319.573,4
238,1.976,5.162,0,371.917,418.083,322.207,4
239,1.905,5.185,0,374.82,418.695,323.744,5
240,1.845,5.29,0,369.111,431.311,314.987,4
241,1.865,5.234,0,370.025,446.097,321.411,4
242,1.654,5.327,0,370.695,416.573,316.294,4
243,1.8,5.378,0,370.343,430.126,314.154,3
244,1.793,5.259,0,369.167,430.857,316.164,4
245,1.998,5.149,0,371.836,403.658,317.788,3
246,1.822,5.269,0,370.993,459.959,315.756,2
247,1.983,5.244,0,370.487,415.439,317.616,4
248,2.416,5.231,0,370.244,422.525,322.134,1
249,2.472,5.314,0,372.783,431.345,318.992,3
250,2.233,5.222,0,370.582,374.627,317.85,8
251,2.164,5.281,0,373.242,439.357,317.971,5
252,2.193,5.287,0,369.944,341.905,318.822,7
253,2.256,5.255,0,369.779,360.802,318.052,7
254,2.31,5.25,0,370.049,352.455,315.282,5
